word,category
uber,Transportation
food,Food
🍕,Food
dinner,Food
love,Sex
lyft,Transportation
🚗,Transportation
🍴,Food
🍣,Food
🍜,Food
🚕,Transportation
pizza,Food
kong,Food
thai,Food
dildo,Sex
beans,Food
din,Food
🍷,Drinks
boba,Food
lunch,Food
gas,Transportation
drink,Drinks
groceries,Food
vroom,Transportation
booze,Drinks
🍺,Drinks
🍹,Drinks
🍏,Food
cups,Drinks
foooood,Food
🍎,Food
🍐,Food
🍊,Food
🍋,Food
🍌,Food
🍉,Food
🍇,Food
🍓,Food
🍈,Food
🍒,Food
⛽,Transportation
party,Drinks
car,Transportation
ubers,Transportation
brunch,Food
chicken,Food
kale,Food
coffee,Food
sushi,Food
salad,Food
lit,Drinks
tea,Food
dim,Food
pho,Food
sum,Food
sex,Sex
alc,Drinks
liquor,Drinks
gin,Drinks
ass,Sex
breakfast,Food
snacks,Food
drank,Drinks
whiskey,Drinks
champagne,Drinks
Cake,Food
Beer,Drinks
pub,Drinks
good time,Sex
Wine,Drinks
Juice,Food
nom,Food
:uber:,Transportation
poke,Food
cheese,Food
foods,Food
goods,Drugs
chinese,Food
🍍,Food
🥥,Food
🥝,Food
🍅,Food
🥑,Food
🥒,Food
🌶,Food
🌽,Food
fries,Food
fucking,Sex
meat,Food
soup,Food
bread,Food
comida,Food
rice,Food
pregame,Drinks
nachos,Food
ubes,Transportation
tasty,Food
burrito,Food

🥕,Food
🥔,Food
🍠,Sex
🥐,Food
🍞,Food
🥖,Food
🥨,Food
🧀,Food
🥚,Food
🍳,Food
🥞,Food
🥓,Food
🥩,Food
🍗,Food
🍖,Food
🌭,Food
🍔,Food
🍟,Food
🍕,Food
🥪,Food
🥙,Food
🌮,Food
🌯,Food
🥘,Food
🥫,Food
🍝,Food
🍜,Food
🍲,Food
🍛,Food
🍣,Food
🍱,Food
🥟,Food
🍤,Food
🍙,Food
🍚,Food
🍘,Food
🍥,Food
🥠,Food
🍢,Food
🍡,Food
🍧,Food
🍨,Food
🍦,Food
🥧,Food
🍰,Food
🎂,Food
🍮,Food
🍭,Food
🍬,Food
🍫,Food
🍿,Food
🍩,Food
🍪,Food
🌰,Food
🥜,Food
🍯,Food
🥛,Food
🍼,Food
☕,Food
️🍵,Food
🥤,Food
🍶,Food
🥄,Food
🍴,Food
🍽,Food
🥣,Food
🥡,Food
🍺,Drinks
🍻,Drinks
🥂,Drinks
🍷,Drinks
🥃,Drinks
🍸,Drinks
🍹,Drinks
🍾,Drinks
🤪,Drinks
🚗,Transportation
🚕,Transportation
🚙,Transportation
🚐,Transportation
🚌,Transportation
🚍,Transportation
🚘,Transportation
🚖,Transportation
🥦,Drugs
🥗,Drugs
🌵,Drugs
🎄,Drugs
🌲,Drugs
🌳,Drugs
🌴,Drugs
🌱,Drugs
🌿,Drugs
☘️,Drugs
🍀,Drugs
🎍,Drugs
🍑,Sex
🍆,Sex
😘,Sex
😛,Sex
😜,Sex
😝,Sex
👄,Sex
👅,Sex
drinks,Drinks
💦,Sex
pot,Drugs
bbq,Food
drink,Drinks
uber!,Transportation
slush,Drinks
cab,Transportation
chipotle,Food
chips,Food
dumpling,Food
dumplings,Food
drugs,Drugs
bar,Drinks
über,Transportation
spice,Food
fridge,Food
Fooooood,Food
cafe,Food
jefes,Food
strip,Sex
dessert,Food
broccoli,Drugs
mozz,Food
butt,Sex
mcdonald,Food
clover,Food
dunkin,Food
uba,Transportation
stein,Drinks
burrito,Food
munchie,Drugs
edible,Drugs
herb,Drugs
trader joe,Food
✈️,Transportation
snacs,Food
milkshake,Food
marg,Drinks
mixer,Drinks
sauce,Food
yummy,Food
chocolate,Food
cookie,Food
starbucks,Food
🐔,Food
taxi,Transportation
ride,Transportation
popcorn,Food
duck,Food
fooooood,Food
bfast,Food
festivities,Drinks
bed,Sex
guac,Food
mango,Food
steak,Food
shots,Drinks
:festival_beer:,Drinks
coke,Drugs
booty,Sex
feast,Food
smoothie,Food
cider,Drinks
transport,Transportation
last night,Sex
ice cream,Food
eataly,Food
marijuana,Drugs
pills,Drugs
grass,Drugs
green,Drugs
kush,Drugs
cocaine,Drugs

🍿,Food
ub,Transportation
body,Sex
cookout,Food
foooood,Food
dick,Sex
penis,Sex
vagina,Sex
sandwich,Food
burger,Food
weed,Drugs
bagel,Food
indian,Food
high,Drugs
eating,Food
vino,Drinks
alcohol,Drinks
alc,Drinks
pancake,Food
taco,Food
fish,Food
fried,Food
nom,Food
treat,Food
suck,Sex
hotpot,Food
hot pot,Food
noch,Food
korean,Food
egg,Food
cocktail,Drinks
martini,Drinks
bj,Sex
bonchon,Food
kfc,Food
drunk,Drinks
cupcake,Food
cake,Food
cookies,Food
ramen,Food
zipcar,Transportation
beers,Drinks
wings,Food
foodz,Food
dominos,Food
8->,Sex
8=>,Sex
beer,Drinks
daddy,Sex
bubble tea,Food
apple,Food
phood,Food
taco,Food
donuts,Food
donut,Food
😏,Sex
krispy kreme,Food
pleasure,Sex
noodles,Food
quesadilla,Food
pie,Food
;),Sex
🎋,Drugs
🍃,Drugs
🍂,Drugs
🍁,Drugs
🍄,Drugs
🌾,Drugs
🥀,Drugs
🌼,Drugs
Boarder,Food
🌻,Drugs
cava,Food
turnip,Food
fireball,Drinks
💊,Drugs
💉,Drugs
🥢,Food
rent,Home
bill,Home
house,Home
moving,Home
home,Home
🏠,Home
⚡,Home
🔌,Home
💡,Home
couch,Home
water,Home
dues,Dues
tix,Events
🎟️,Events
🎫,Events
ticket,Events
party bus,Events
partay bus,Events
ARIANA,Events
