Id,username,name,is_crawled
0,user0,Adaptable Aardvark,False
1,user1,Adaptable Albatross,False
2,user2,Adaptable Alligator,False
3,user3,Adaptable Alpaca,False
4,user4,Adaptable Ant,False
5,user5,Adaptable Anteater,False
6,user6,Adaptable Antelope,False
7,user7,Adaptable Ape,False
8,user8,Adaptable Armadillo,False
9,user9,Adaptable Baboon,False
10,user10,Adaptable Badger,False
11,user11,Adaptable Barracuda,False
12,user12,Adaptable Bat,False
13,user13,Adaptable Bear,False
14,user14,Adaptable Beaver,False
15,user15,Adaptable Bee,False
16,user16,Adaptable Bird,False
17,user17,Adaptable Bison,False
18,user18,Adaptable Boar,False
19,user19,Adaptable Buffalo,False
20,user20,Adaptable Butterfly,True
21,user21,Adaptable Camel,False
22,user22,Adaptable Caribou,False
23,user23,Adaptable Cassowary,False
24,user24,Adaptable Cat,False
25,user25,Adaptable Caterpillar,False
26,user26,Adaptable Cattle,False
27,user27,Adaptable Chameleon,False
28,user28,Adaptable Chamois,False
29,user29,Adaptable Cheetah,False
30,user30,Adaptable Chicken,False
31,user31,Adaptable Chimpanzee,False
32,user32,Adaptable Chinchilla,False
33,user33,Adaptable Chough,False
34,user34,Adaptable Coati,False
35,user35,Adaptable Cobra,False
36,user36,Adaptable Cockroach,True
37,user37,Adaptable Cod,False
38,user38,Adaptable Cormorant,False
39,user39,Adaptable Coyote,False
40,user40,Adaptable Crab,False
41,user41,Adaptable Crane,False
42,user42,Adaptable Crocodile,False
43,user43,Adaptable Crow,False
44,user44,Adaptable Curlew,False
45,user45,Adaptable Deer,False
46,user46,Adaptable Dinosaur,False
47,user47,Adaptable Dog,True
48,user48,Adaptable Dogfish,False
49,user49,Adaptable Dolphin,False
50,user50,Adaptable Donkey,False
51,user51,Adaptable Dotterel,False
52,user52,Adaptable Dove,False
53,user53,Adaptable Dragonfly,False
54,user54,Adaptable Duck,False
55,user55,Adaptable Dugong,False
56,user56,Adaptable Dunlin,False
57,user57,Adaptable Eagle,False
58,user58,Adaptable Echidna,False
59,user59,Adaptable Eel,False
60,user60,Adaptable Eland,False
61,user61,Adaptable Elephant,False
62,user62,Adaptable Elephant seal,False
63,user63,Adaptable Elk,False
64,user64,Adaptable Emu,False
65,user65,Adaptable Falcon,False
66,user66,Adaptable Ferret,False
67,user67,Adaptable Finch,False
68,user68,Adaptable Fish,False
69,user69,Adaptable Flamingo,False
70,user70,Adaptable Fly,False
71,user71,Adaptable Fox,False
72,user72,Adaptable Frog,False
73,user73,Adaptable Gaur,False
74,user74,Adaptable Gazelle,False
75,user75,Adaptable Gerbil,False
76,user76,Adaptable Giant panda,False
77,user77,Adaptable Giraffe,False
78,user78,Adaptable Gnat,False
79,user79,Adaptable Gnu,False
80,user80,Adaptable Goat,False
81,user81,Adaptable Goldfinch,False
82,user82,Adaptable Goosander,False
83,user83,Adaptable Goose,False
84,user84,Adaptable Gorilla,False
85,user85,Adaptable Goshawk,False
86,user86,Adaptable Grasshopper,False
87,user87,Adaptable Grouse,False
88,user88,Adaptable Guanaco,False
89,user89,Adaptable Guinea fowl,False
90,user90,Adaptable Guinea pig,False
91,user91,Adaptable Gull,False
92,user92,Adaptable Hamster,False
93,user93,Adaptable Hare,False
94,user94,Adaptable Hawk,False
95,user95,Adaptable Hedgehog,False
96,user96,Adaptable Heron,False
97,user97,Adaptable Herring,False
98,user98,Adaptable Hippo,False
99,user99,Adaptable Hornet,False
100,user100,Adaptable Horse,False
101,user101,Adaptable Hummingbird,False
102,user102,Adaptable Hyena,False
103,user103,Adaptable Ibex,False
104,user104,Adaptable Ibis,False
105,user105,Adaptable Impala,False
106,user106,Adaptable Jackal,False
107,user107,Adaptable Jaguar,False
108,user108,Adaptable Jay,False
109,user109,Adaptable Jellyfish,False
110,user110,Adaptable Kangaroo,False
111,user111,Adaptable Kinkajou,False
112,user112,Adaptable Koala,False
113,user113,Adaptable Komodo dragon,False
114,user114,Adaptable Kouprey,False
115,user115,Adaptable Kudu,False
116,user116,Adaptable Lapwing,False
117,user117,Adaptable Lark,False
118,user118,Adaptable Lemur,False
119,user119,Adaptable Leopard,False
120,user120,Adaptable Lion,False
121,user121,Adaptable Llama,False
122,user122,Adaptable Lobster,False
123,user123,Adaptable Locust,False
124,user124,Adaptable Loris,False
125,user125,Adaptable Louse,False
126,user126,Adaptable Lyrebird,False
127,user127,Adaptable Magpie,False
128,user128,Adaptable Mallard,False
129,user129,Adaptable Mammoth,False
130,user130,Adaptable Manatee,False
131,user131,Adaptable Mandrill,False
132,user132,Adaptable Mink,False
133,user133,Adaptable Mole,False
134,user134,Adaptable Mongoose,False
135,user135,Adaptable Monkey,False
136,user136,Adaptable Moose,False
